City and Date,Date,City,Raw Number of Posts,Residual After Controlling for Time,Good Sunset,Latitude,Longitude,State Name,City Name,Date of Last Change,Missing Days (#),CO (in parts per million),NO2 (in parts per billion),SO2 (in parts per billion),Ozone (in parts per million),AQI,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Los_Angeles2015-11-11,11/11/2015,Los_Angeles,360,-0.070721804,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1,47.7,0.4,0.038,44,11/11/2015,76.3,48.8,60.8,76.3,48.8,60.8,30.8,35.1,0,0,0,,0,0,,6.9,261.9,1022.7,0,9.9,188.8,16.2,7,,2015-11-11T06:21:37,2015-11-11T16:51:48,1,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-12,11/12/2015,Los_Angeles,385,0.007143899,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,57.5,0.7,0.036,54,11/12/2015,79.5,50.8,63,79.5,50.8,63,17.5,21.3,0,0,0,,0,0,,5.2,297.3,1017,0,9.9,173.4,15,7,,2015-11-12T06:22:33,2015-11-12T16:51:07,0,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-13,11/13/2015,Los_Angeles,318,-0.231599926,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.6,52.7,1,0.029,49,11/13/2015,79.9,50.8,64.5,79.9,50.8,64.5,23.9,25.1,0,0,0,,0,0,,6.9,250.8,1014.4,0,9.9,180.8,15.6,7,,2015-11-13T06:23:30,2015-11-13T16:50:27,0.02,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-14,11/14/2015,Los_Angeles,451,0.083255423,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,1,1.6,53.1,0.9,0.038,50,11/14/2015,80,52.4,64.5,79.9,52.4,64.5,31.1,33.3,0,0,0,,0,0,,6,225.9,1013.2,0,9.6,175.5,15.1,7,,2015-11-14T06:24:27,2015-11-14T16:49:48,0.04,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-16,11/16/2015,Los_Angeles,316,-0.20444478,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.4,30.4,0,0.038,28,11/16/2015,62.6,52,57,62.6,52,57,20.5,25.4,0,0,0,,0,0,32.7,12.9,317.6,1015.6,0.6,9.9,175.7,15.1,7,,2015-11-16T06:26:21,2015-11-16T16:48:36,0.11,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-17,11/17/2015,Los_Angeles,347,-0.062600992,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.4,48.9,0.9,0.012,45,11/17/2015,71.6,45.9,58.2,71.6,45.9,58.2,24.9,31,0.01,100,4.17,rain,0,0,20.8,6.9,229.7,1019.8,0,9.9,174.9,15.3,7,,2015-11-17T06:27:18,2015-11-17T16:48:03,0.16,Rain,Clear conditions throughout the day with early morning rain.,rain,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-18,11/18/2015,Los_Angeles,395,0.018503026,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.6,58.2,1.3,0.015,55,11/18/2015,75,48.8,60.9,75,48.8,60.9,37.9,44.6,0,0,0,,0,0,,5,229.7,1015.9,0.4,9.9,169,14.6,6,,2015-11-18T06:28:15,2015-11-18T16:47:32,0.21,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-19,11/19/2015,Los_Angeles,348,-0.063560632,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.5,54.9,1.1,0.027,51,11/19/2015,81.4,51.4,65.5,79.3,51.4,65.3,36.3,37.1,0,0,0,,0,0,,6.2,286.6,1014.2,0,9.9,170,14.7,6,,2015-11-19T06:29:12,2015-11-19T16:47:02,0.26,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-20,11/20/2015,Los_Angeles,462,0.098216863,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,2.1,75.4,1.2,0.011,73,11/20/2015,83.3,55.1,67.8,80.6,55.1,67.4,36.3,33.7,0,0,0,,0,0,,3.4,185.3,1012.9,0,9.8,155.2,13.4,6,,2015-11-20T06:30:09,2015-11-20T16:46:34,0.32,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-21,11/21/2015,Los_Angeles,507,0.217595901,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.9,56.6,0.9,0.038,53,11/21/2015,86.4,57.9,70.9,83,57.9,70,35.3,30.9,0,0,0,,0,0,,3.8,349.5,1013.8,0,9.9,163.3,14,6,,2015-11-21T06:31:06,2015-11-21T16:46:07,0.37,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-22,11/22/2015,Los_Angeles,595,0.147468151,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1,48.6,0.4,0.041,45,11/22/2015,84.5,59.9,70.4,81.5,59.9,69.7,22.5,17.5,0,0,0,,0,0,,5.4,347.5,1013.2,0,9.9,168.6,14.5,6,,2015-11-22T06:32:02,2015-11-22T16:45:43,0.42,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-23,11/23/2015,Los_Angeles,435,0.068502809,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.2,52.1,1.1,0.027,49,11/23/2015,78.3,56,66,78.3,56,66,33.8,33.3,0,0,0,,0,0,,10.4,188.9,1012.6,0,9.8,163.7,14.2,6,,2015-11-23T06:32:58,2015-11-23T16:45:20,0.46,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-24,11/24/2015,Los_Angeles,346,-0.055990744,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.4,47.2,0.9,0.034,44,11/24/2015,67.6,52.8,59.7,67.6,52.8,59.7,41,50.9,0.01,100,4.17,rain,0,0,,10.3,198.8,1012.9,41.2,9.8,150.7,12.9,6,,2015-11-24T06:33:54,2015-11-24T16:45:00,0.49,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-25,11/25/2015,Los_Angeles,308,-0.16595708,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.9,37.7,0.1,0.037,35,11/25/2015,61.8,50.4,56.3,61.8,50.4,56.3,36.9,48.9,0,0,0,,0,0,27.7,15,263.9,1011.7,23.1,9.9,159.7,13.8,6,,2015-11-25T06:34:50,2015-11-25T16:44:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-11-26,11/26/2015,Los_Angeles,325,-0.106808517,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.7,32.3,0.1,0.035,30,11/26/2015,61.4,47.3,54.5,61.4,47.3,54.5,39.5,57.6,0,0,0,,0,0,18.3,6.2,144,1014.7,47.3,9.9,151.9,13.1,6,,2015-11-26T06:35:45,2015-11-26T16:44:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-27,11/27/2015,Los_Angeles,396,-0.040855682,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.6,38.4,0.1,0.033,36,11/27/2015,62.8,50.4,55.8,62.8,50.4,55.8,36.5,50,0,0,0,,0,0,,5.8,24.3,1015.7,26.5,9.9,128.1,11.1,5,,2015-11-27T06:36:40,2015-11-27T16:44:08,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-28,11/28/2015,Los_Angeles,697,0.64514416,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.9,40,0.3,0.034,38,11/28/2015,63.1,45.5,55.2,63.1,45.5,55.2,27.9,38,0,0,0,,0,0,,6.3,328.5,1017.5,0,9.9,121.7,10.6,5,,2015-11-28T06:37:34,2015-11-28T16:43:55,0.54,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-29,11/29/2015,Los_Angeles,509,-0.037015542,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.1,40.9,0.7,0.037,38,11/29/2015,65.9,50.7,56.6,65.9,50.7,56.6,24.2,29.8,0,0,0,,0,0,,5.4,294.7,1019.3,4.3,9.9,157.1,13.6,6,,2015-11-29T06:38:28,2015-11-29T16:43:43,0.58,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-30,11/30/2015,Los_Angeles,431,0.065087164,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,48.8,0.5,0.029,45,11/30/2015,65,45.8,55.1,65,45.8,55,23.4,31.1,0,0,0,,0,0,,5.8,336.2,1020,0,9.9,141.8,12.2,6,,2015-11-30T06:39:22,2015-11-30T16:43:34,0.62,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-01,12/1/2015,Los_Angeles,344,-0.055561254,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.6,55.9,0.8,0.025,52,12/1/2015,70.6,46.4,57.3,70.6,45.8,57.2,26.1,32.8,0,0,0,,0,0,,4.4,1.4,1019.2,0,9.9,157.2,13.6,6,,2015-12-01T06:40:14,2015-12-01T16:43:26,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-02,12/2/2015,Los_Angeles,452,0.157355628,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1,49.7,0.4,0.028,46,12/2/2015,77.1,51.3,62.4,77.1,51.3,62.4,22.5,23.1,0.01,100,4.17,rain,0,0,,5.1,5.7,1019.2,0,9.9,150.7,13.1,6,,2015-12-02T06:41:07,2015-12-02T16:43:20,0.71,Rain,Clear conditions throughout the day with early morning rain.,rain,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-03,12/3/2015,Los_Angeles,423,0.113965037,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,53,1.9,0.014,50,12/3/2015,73.9,55.6,62.9,73.9,55.6,62.9,28.9,31.4,0,0,0,,0,0,,6.9,332.2,1017.4,0,9.9,115.9,9.9,5,,2015-12-03T06:41:58,2015-12-03T16:43:17,0.76,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-04,12/4/2015,Los_Angeles,364,-0.108658454,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.5,48.2,1.1,0.011,45,12/4/2015,66.5,50.9,58,66.5,50.9,58,44.4,61.1,0,0,0,,0,0,,3.2,333.5,1018.6,19.4,9.9,69.2,6.1,3,,2015-12-04T06:42:49,2015-12-04T16:43:15,0.81,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-12-05,12/5/2015,Los_Angeles,467,0.138080156,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.8,39.4,0.2,0.032,37,12/5/2015,76.7,49.1,61.2,76.7,49.1,61.2,32.8,37.9,0,0,0,,0,0,,3.6,1.1,1022.3,0,9.9,150.5,12.9,6,,2015-12-05T06:43:39,2015-12-05T16:43:14,0.85,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-06,12/6/2015,Los_Angeles,525,0.000273696,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.4,47.6,0.5,0.033,44,12/6/2015,77.2,56,64.3,77.2,56,64.3,28.2,27.9,0,0,0,,0,0,,5.3,318.9,1022.1,0,9.9,125.1,10.7,5,,2015-12-06T06:44:28,2015-12-06T16:43:16,0.9,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-07,12/7/2015,Los_Angeles,893,1.089778089,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.4,50.3,0.7,0.018,47,12/7/2015,79.3,55.2,65.1,79.3,55.2,65.1,30.3,29.3,0,0,0,,0,0,24.2,5.1,314.4,1018.8,0,9.9,148.6,13,6,,2015-12-07T06:45:16,2015-12-07T16:43:20,0.93,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-08,12/8/2015,Los_Angeles,812,0.981775188,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.8,62,1.5,0.015,60,12/8/2015,82.3,54,66.3,79.9,54,66,37.9,38,0,0,0,,0,0,,3.8,276.3,1016.6,0.4,9.6,143.3,12.3,6,,2015-12-08T06:46:04,2015-12-08T16:43:26,0.96,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-12-09,12/9/2015,Los_Angeles,548,0.369973286,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,2.1,75,2.1,0.007,73,12/9/2015,75.2,54.5,62.7,75.2,54.5,62.7,46.9,59.1,0,0,0,,0,0,,4.5,232.6,1015.8,3.6,8.1,130.7,11.2,6,,2015-12-09T06:46:50,2015-12-09T16:43:33,0.99,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-10,12/10/2015,Los_Angeles,313,-0.13035865,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,2,56.8,1.2,0.028,53,12/10/2015,66.7,52.8,59.5,66.7,52.8,59.5,53.7,81.6,0,0,0,,0,0,22.2,7.6,209.8,1014.2,62.1,6.2,125.9,11.1,5,,2015-12-10T06:47:36,2015-12-10T16:43:42,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-12-11,12/11/2015,Los_Angeles,422,0.018579733,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.9,35.1,0.3,0.039,33,12/11/2015,63.4,52.8,57.7,63.4,52.8,57.7,41.3,56.5,0.04,100,8.33,rain,0,0,36.3,11.9,303.4,1009.8,22.9,9.9,122.2,10.5,5,,2015-12-11T06:48:20,2015-12-11T16:43:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-12,12/12/2015,Los_Angeles,391,-0.032169999,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.7,34.5,0.1,0.035,32,12/12/2015,67.1,53.8,58.9,67.1,53.8,58.9,30.2,33.9,0,0,0,,0,0,27.5,10.1,320.6,1014.5,0.2,9.8,149,12.9,6,,2015-12-12T06:49:03,2015-12-12T16:44:07,0.01,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-13,12/13/2015,Los_Angeles,266,-0.575964665,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.8,34.8,0.4,0.037,32,12/13/2015,65,46.8,55.5,65,46.8,55.5,39,55.6,0.15,100,16.67,rain,0,0,31.1,9.4,268.5,1016.5,24.1,9.3,143.7,12.6,6,,2015-12-13T06:49:45,2015-12-13T16:44:22,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-12-14,12/14/2015,Los_Angeles,247,-0.344357481,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.3,9.9,0,0.036,8,12/14/2015,57,47.6,51.9,57,44.3,51.3,28,40.4,0,0,0,,0,0,33.3,11.9,319.2,1014.2,2.7,9.9,149.1,12.9,6,,2015-12-14T06:50:26,2015-12-14T16:44:38,0.05,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-15,12/15/2015,Los_Angeles,289,-0.180478891,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,44.4,0.8,0.026,42,12/15/2015,60.1,42.8,51.6,60.1,42.8,51.3,25,36.4,0,0,0,,0,0,,7.4,318.4,1016.6,0,9.9,149.5,12.9,6,,2015-12-15T06:51:06,2015-12-15T16:44:57,0.09,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-16,12/16/2015,Los_Angeles,124,-0.573562766,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,44.4,0.9,0.022,42,12/16/2015,60.7,40.5,50.4,60.7,40.5,50.3,26.4,40.8,0,0,0,,0,0,,4.5,295.1,1020.9,0.4,9.9,123.5,10.6,6,,2015-12-16T06:51:44,2015-12-16T16:45:17,0.13,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-17,12/17/2015,Los_Angeles,216,-0.350051587,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.4,47.7,0.7,0.021,44,12/17/2015,64.9,42,52.8,64.9,42,52.8,30.4,44.7,0,0,0,,0,0,,4,338.3,1021.2,0,9.9,144.2,12.5,6,,2015-12-17T06:52:21,2015-12-17T16:45:39,0.19,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-18,12/18/2015,Los_Angeles,187,-0.507403526,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,6,2,46.3,0.9,0.021,43,12/18/2015,70.5,47,57.1,70.5,45.2,57,32.2,41.9,0,0,0,,0,0,,4.9,331.5,1017.1,0,9.9,147.5,12.8,6,,2015-12-18T06:52:57,2015-12-18T16:46:03,0.24,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-25,12/25/2015,Los_Angeles,291,-0.28604157,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.6,19.8,0,0.039,18,12/25/2015,57.7,45.5,51.1,57.7,45.5,50.8,27.2,42.5,0,0,0,,0,0,26.5,10.6,320.9,1018.1,1.5,9.9,148.9,12.7,6,,2015-12-25T06:56:26,2015-12-25T16:49:34,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-26,12/26/2015,Los_Angeles,364,-0.107401746,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.2,42.8,0.8,0.032,40,12/26/2015,60.9,44,51.7,60.9,41.5,51.1,14.5,25.7,0,0,0,,0,0,37.8,9.2,39.6,1023.6,0,9.9,154.7,13.5,6,,2015-12-26T06:56:49,2015-12-26T16:50:10,0.51,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-27,12/27/2015,Los_Angeles,465,-0.151538704,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.1,38.2,0.7,0.033,36,12/27/2015,60.1,37.3,48.1,60.1,37.3,48.1,20.4,36.6,0,0,0,,0,0,,5.9,303.5,1021.7,0,9.9,151.8,13.2,6,,2015-12-27T06:57:11,2015-12-27T16:50:48,0.53,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-28,12/28/2015,Los_Angeles,497,0.192068083,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.1,41.4,0.8,0.021,39,12/28/2015,55.8,36.9,47.3,55.8,36.9,47,29,49.2,0,0,0,,0,0,26.9,8,342.3,1013.4,36.9,9.9,131.8,11.2,5,,2015-12-28T06:57:31,2015-12-28T16:51:27,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-29,12/29/2015,Los_Angeles,441,0.137928916,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.4,42.6,1.7,0.024,40,12/29/2015,60,41.5,50.3,60,41.5,50.1,30.3,47.4,0,0,0,,0,0,,5.4,298.7,1015.5,0,9.9,148.8,12.8,6,,2015-12-29T06:57:50,2015-12-29T16:52:08,0.59,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-30,12/30/2015,Los_Angeles,509,0.260129187,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.1,42.8,0.7,0.022,40,12/30/2015,61,41.1,50.1,61,41.1,50.1,32.5,53,0,0,0,,0,0,,6,263.1,1020.9,0,9.8,147.8,12.8,6,,2015-12-30T06:58:06,2015-12-30T16:52:50,0.63,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-12-31,12/31/2015,Los_Angeles,558,0.387482076,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.2,44.6,0.8,0.03,42,12/31/2015,64.6,41.1,52.3,64.6,41.1,52.3,25.3,38.8,0,0,0,,0,0,25.3,4.7,341.8,1019.2,0,9.9,149.7,12.9,6,,2015-12-31T06:58:21,2015-12-31T16:53:33,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
